Date,DL_length,player_id,dt_date
20060614,15,gibbj002,2006-06-14
20060614,60,santj001,2006-06-14
20060615,15,,2006-06-15
20060615,15,blakc001,2006-06-15
20060615,60,wilsp001,2006-06-15
20060617,15,floyc001,2006-06-17
20060617,15,claub001,2006-06-17
20060618,15,jordb001,2006-06-18
20060618,60,pagaa001,2006-06-18
20060618,15,ruscg001,2006-06-18
20060618,60,geruj001,2006-06-18
20060618,15,santv001,2006-06-18
20060620,15,bradm001,2006-06-20
20060620,60,muelb001,2006-06-20
20060620,15,,2006-06-20
20060620,15,loe-k001,2006-06-20
20060621,15,lugor002,2006-06-21
20060621,15,hairs001,2006-06-21
20060622,15,muldm001,2006-06-22
20060623,15,erstd001,2006-06-23
20060623,15,witaj001,2006-06-23
20060623,15,,2006-06-23
20060624,15,mcphd001,2006-06-24
20060624,60,boyeb001,2006-06-24
20060624,15,stocp001,2006-06-24
20060624,15,michj001,2006-06-24
20060625,15,bynuf001,2006-06-25
20060627,15,tomkb001,2006-06-27
20060627,15,canor001,2006-06-27
20060628,15,walkp001,2006-06-28
20060628,15,aloum001,2006-06-28
20060628,15,myerb001,2006-06-28
20060628,60,wolfr001,2006-06-28
20060630,15,whitr001,2006-06-30
20060701,15,riosa002,2006-07-01
20060701,15,worrt002,2006-07-01
20060701,15,moehb001,2006-07-01
20060701,15,,2006-07-01
20060702,15,reitc001,2006-07-02
20060702,15,embra001,2006-07-02
20060703,15,reedj004,2006-07-03
20060703,15,,2006-07-03
20060703,15,woodm002,2006-07-03
20060704,60,leder001,2006-07-04
20060704,15,fasas001,2006-07-04
20060705,60,rodrf002,2006-07-05
20060705,15,,2006-07-05
20060706,15,,2006-07-06
20060707,60,ankir001,2006-07-07
20060707,60,reedj004,2006-07-07
20060707,15,bakop001,2006-07-07
20060708,15,walkp001,2006-07-08
20060713,15,ensbm001,2006-07-13
20060713,60,dinal001,2006-07-13
20060714,15,escok001,2006-07-14
20060714,15,priom001,2006-07-14
20060714,15,,2006-07-14
20060714,15,belim001,2006-07-14
20060714,15,fordl001,2006-07-14
20060714,60,rasnd001,2006-07-14
20060715,15,taubt001,2006-07-15
20060715,15,thomj005,2006-07-15
20060715,15,koskc001,2006-07-15
20060715,15,counc001,2006-07-15
20060715,60,mathm001,2006-07-15
20060715,15,stews002,2006-07-15
20060716,15,rossd001,2006-07-16
20060716,15,,2006-07-16
20060717,15,quino001,2006-07-17
20060718,15,clart002,2006-07-18
20060718,15,kentj001,2006-07-18
20060718,15,jackd003,2006-07-18
20060718,15,elars001,2006-07-18
20060720,15,guilj001,2006-07-20
20060720,15,waket001,2006-07-20
20060721,15,sandr002,2006-07-21
20060722,60,worrt002,2006-07-22
20060722,15,merck001,2006-07-22
20060723,15,marss002,2006-07-23
20060724,15,lee-d002,2006-07-24
20060725,15,vidrj001,2006-07-25
20060726,15,saues001,2006-07-26
20060726,60,reitc001,2006-07-26
20060727,15,snelc001,2006-07-27
20060728,15,,2006-07-28
20060729,60,hardj003,2006-07-29
20060729,15,,2006-07-29
20060729,15,sorir001,2006-07-29
20060730,15,colob001,2006-07-30
20060730,60,jordb001,2006-07-30
20060730,15,jonec004,2006-07-30
20060730,15,kazms001,2006-07-30
20060730,15,garcn001,2006-07-30
20060730,15,parkc002,2006-07-30
20060730,60,clemm001,2006-07-30
20060731,15,sancd001,2006-07-31
20060731,15,birkk001,2006-07-31
20060731,15,nixot001,2006-07-31
20060731,15,duckb001,2006-07-31
20060731,15,miend001,2006-07-31
20060801,15,fickr001,2006-08-01
20060801,15,varij001,2006-08-01
20060802,15,ruscg001,2006-08-02
20060802,15,harpt002,2006-08-02
20060802,15,tream001,2006-08-02
20060803,15,greea001,2006-08-03
20060803,60,,2006-08-03
20060804,15,crosb002,2006-08-04
20060804,15,,2006-08-04
20060804,15,bensk001,2006-08-04
20060807,60,walkt003,2006-08-07
20060807,15,desse001,2006-08-07
20060807,15,majeg001,2006-08-07
20060807,15,stanj001,2006-08-07
20060808,15,speij001,2006-08-08
20060808,15,blakc001,2006-08-08
20060808,60,elars001,2006-08-08
20060808,15,cairm001,2006-08-08
20060809,15,kensl001,2006-08-09
20060809,15,floyc001,2006-08-09
20060809,60,claub001,2006-08-09
20060809,15,lirif001,2006-08-09
20060811,15,ramih002,2006-08-11
20060811,15,davaj001,2006-08-11
20060811,15,sharj001,2006-08-11
20060811,15,whitr001,2006-08-11
20060812,15,priom001,2006-08-12
20060812,15,merck001,2006-08-12
20060813,15,aybaw001,2006-08-13
20060814,15,aquig001,2006-08-14
20060814,15,mclon001,2006-08-14
20060815,15,,2006-08-15
20060815,15,polap001,2006-08-15
20060816,15,eyres001,2006-08-16
20060816,15,,2006-08-16
20060816,15,wilkb002,2006-08-16
20060816,60,merck001,2006-08-16
20060817,15,bowim001,2006-08-17
20060818,15,wisem001,2006-08-18
20060818,15,berna001,2006-08-18
20060818,15,,2006-08-18
20060819,15,backb001,2006-08-19
20060819,15,frank001,2006-08-19
20060819,15,greek002,2006-08-19
20060820,15,pridc001,2006-08-20
20060820,15,streh001,2006-08-20
20060820,15,ecksd001,2006-08-20
20060820,15,lowem002,2006-08-20
20060820,15,guare001,2006-08-20
20060821,15,marmc001,2006-08-21
20060821,15,gordt001,2006-08-21
20060821,15,color001,2006-08-21
20060822,15,nievf001,2006-08-22
20060822,15,iztuc001,2006-08-22
20060822,15,parkc002,2006-08-22
20060822,15,rowaa001,2006-08-22
20060822,15,,2006-08-22
20060823,15,,2006-08-23
20060823,15,mussm001,2006-08-23
20060824,60,sancd001,2006-08-24
20060824,60,,2006-08-24
20060825,15,crosb002,2006-08-25
20060825,15,kazms001,2006-08-25
20060825,60,estes001,2006-08-25
20060825,15,sandr002,2006-08-25
20060826,15,escoa002,2006-08-26
20060826,15,wills002,2006-08-26
20060826,15,owenj002,2006-08-26
